Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,83.860001,85.300003,83.010002,85.150002,84.363609,1349300
2022-11-22,85.540001,86.300003,84.910004,86.120003,85.324654,1233400
2022-11-23,86.239998,86.519997,85.660004,86.110001,85.314743,865300
2022-11-25,86.279999,86.279999,84.410004,84.910004,84.125832,1003100
2022-11-28,84.650002,85.309998,83.660004,83.750000,82.976540,1523400
2022-11-29,83.459999,83.750000,82.029999,83.750000,82.976540,1490300
2022-11-30,83.650002,85.209999,82.989998,85.180000,84.393333,5048000
2022-12-01,86.000000,86.529999,84.980003,85.730003,84.938255,1172000
2022-12-02,85.559998,86.529999,85.209999,86.379997,85.582245,1002600
2022-12-05,85.400002,85.480003,83.690002,84.050003,83.273773,898700
2022-12-06,83.870003,84.809998,83.870003,84.379997,83.600716,850600
2022-12-07,84.739998,85.400002,84.650002,85.349998,84.561760,937400
2022-12-08,85.169998,86.120003,85.110001,85.650002,84.858994,820300
2022-12-09,85.379997,85.870003,85.120003,85.279999,84.492401,809000
2022-12-12,85.690002,86.099998,85.239998,85.980003,85.185951,781500
2022-12-13,87.379997,88.029999,85.980003,86.599998,85.800217,1188600
2022-12-14,86.800003,87.830002,86.000000,86.269997,85.473259,1176300
2022-12-15,85.540001,85.940002,84.059998,84.459999,83.679977,1109900
2022-12-16,83.769997,84.180000,82.430000,83.410004,82.639687,2481500
2022-12-19,83.430000,84.209999,82.110001,82.839996,82.074944,1064900
2022-12-20,82.610001,83.269997,81.919998,82.989998,82.223557,787600
2022-12-21,83.220001,84.720001,83.220001,84.250000,83.471924,669400
2022-12-22,84.070000,84.330002,83.169998,84.180000,83.402565,916400
2022-12-23,84.080002,84.459999,83.730003,84.220001,83.442200,602900
2022-12-27,84.449997,85.089996,84.099998,84.830002,84.046570,665300
2022-12-28,85.019997,85.360001,83.220001,83.239998,82.471245,700600
2022-12-29,83.239998,84.290001,83.070000,84.139999,83.755348,685600
2022-12-30,84.110001,84.209999,81.959999,82.889999,82.511063,842800
2023-01-03,83.239998,83.480003,82.089996,83.470001,83.088417,931000
2023-01-04,83.760002,85.500000,83.550003,84.959999,84.571602,890800
2023-01-05,84.879997,85.269997,84.110001,84.449997,84.063927,776900
2023-01-06,85.290001,86.610001,84.580002,86.300003,85.905479,937200
2023-01-09,85.970001,86.360001,84.519997,84.610001,84.223198,1167000
2023-01-10,84.779999,85.050003,84.059998,84.370003,83.984299,1067800
2023-01-11,84.300003,84.589996,82.440002,83.519997,83.138184,1148500
2023-01-12,83.279999,83.440002,80.070000,80.970001,80.599846,1637300
2023-01-13,80.610001,81.519997,80.120003,81.099998,80.729248,840000
2023-01-17,81.099998,82.199997,80.830002,81.099998,80.729248,1191600
2023-01-18,80.940002,81.139999,77.129997,77.169998,76.817207,1326700
2023-01-19,77.000000,77.540001,76.620003,76.650002,76.299591,984700
2023-01-20,76.629997,77.459999,75.849998,77.440002,77.085983,1046000
2023-01-23,77.459999,78.739998,77.360001,78.650002,78.290451,1142500
2023-01-24,79.209999,79.209999,77.779999,78.599998,78.240677,1056400
2023-01-25,78.180000,78.459999,76.769997,77.980003,77.623512,1660400
2023-01-26,73.000000,74.930000,72.250000,73.459999,73.124176,3539300
2023-01-27,73.739998,75.489998,73.739998,74.440002,74.099693,2217400
2023-01-30,74.279999,75.169998,74.080002,74.680000,74.338600,1270500
2023-01-31,75.059998,75.489998,74.510002,75.120003,74.776588,1732600
2023-02-01,74.940002,75.930000,74.500000,75.620003,75.274300,1436400
2023-02-02,75.309998,75.690002,74.639999,74.970001,74.627274,1696400
2023-02-03,74.830002,76.019997,73.860001,74.540001,74.199234,1198600
2023-02-06,74.169998,75.419998,74.169998,75.320000,74.975670,1059000
2023-02-07,74.820000,74.820000,73.349998,74.580002,74.239052,1470600
2023-02-08,74.279999,74.459999,73.680000,73.790001,73.452667,1210900
2023-02-09,74.089996,74.440002,72.879997,73.419998,73.084358,1386500
2023-02-10,73.500000,74.510002,73.040001,74.500000,74.159416,1174200
2023-02-13,74.660004,75.599998,74.610001,75.589996,75.244431,1036000
2023-02-14,75.500000,75.500000,74.110001,74.910004,74.567551,990400
2023-02-15,74.739998,75.050003,74.150002,74.800003,74.458054,1099500
2023-02-16,74.010002,74.650002,73.440002,74.309998,73.970284,974000
2023-02-17,74.379997,75.980003,74.050003,75.750000,75.403702,1031200
2023-02-21,75.699997,75.790001,74.680000,75.529999,75.184708,1002100
2023-02-22,75.900002,76.879997,75.459999,75.839996,75.493286,1320800
2023-02-23,75.839996,76.150002,74.599998,75.400002,75.055305,945200
2023-02-24,74.800003,75.239998,74.599998,74.980003,74.637230,820500
2023-02-27,75.419998,75.800003,74.660004,75.010002,74.667091,1056400
2023-02-28,74.629997,74.800003,74.059998,74.320000,73.980240,1724000
2023-03-01,74.000000,74.000000,72.589996,72.970001,72.636414,1403800
2023-03-02,72.949997,73.040001,71.839996,73.040001,72.706093,2324100
2023-03-03,73.379997,73.379997,72.370003,72.900002,72.566734,1794800
2023-03-06,72.739998,73.370003,72.489998,73.230003,72.895226,1194800
2023-03-07,73.320000,73.589996,71.800003,72.129997,71.800247,1836300
2023-03-08,72.339996,73.080002,71.860001,72.739998,72.407463,1565700
2023-03-09,73.180000,73.389999,71.739998,72.000000,71.670845,1743500
2023-03-10,71.690002,71.860001,70.690002,70.949997,70.625648,1358800
2023-03-13,70.680000,72.790001,70.599998,72.120003,71.790298,1456600
2023-03-14,72.500000,72.519997,71.040001,71.839996,71.511574,1406100
2023-03-15,71.550003,73.190002,70.949997,72.919998,72.586639,1507900
2023-03-16,73.040001,73.330002,72.040001,73.250000,72.915131,1416700
2023-03-17,73.459999,73.459999,72.379997,72.620003,72.288017,2680300
2023-03-20,72.639999,73.410004,72.570000,73.279999,72.944992,1348800
2023-03-21,73.220001,73.440002,72.080002,72.790001,72.457237,1329700
2023-03-22,72.629997,73.180000,72.089996,72.110001,71.780342,1203200
2023-03-23,72.019997,72.660004,71.160004,71.199997,70.874504,1448200
2023-03-24,71.410004,73.110001,71.360001,72.870003,72.536873,1259200
2023-03-27,73.230003,74.440002,73.029999,74.059998,73.721428,2233300
2023-03-28,79.019997,83.889999,78.389999,81.180000,80.808884,6331900
2023-03-29,81.500000,81.980003,81.000000,81.199997,80.828789,2550700
2023-03-30,81.410004,81.839996,80.330002,81.010002,80.639664,1883000
2023-03-31,81.489998,83.440002,81.489998,83.209999,82.829597,2106800
